accidentId,severity,eventDate,side,city,county,state,zipcode,temperature_F,windChill_F,humidity_perc,pressure_in,visibility_mi,windDirection,windSpeed_mph,precipitation_in,weatherCondition,sunriseSunset
A-615636,2,2021-06-02,L,Darlington,Darlington,SC,29540-9216,72,72,97,29.9,10,SSE,5,0.16,Light Rain,Day
A-506204,2,2021-11-19,R,North Augusta,Aiken,SC,29841,64,64,21,29.87,10,NNE,9,0,Fair,Day
A-1039995,2,2021-06-17,R,Orlando,Orange,FL,32805,88,88,51,29.88,10,SSE,6,0,Fair,Day
A-811526,2,2021-09-22,R,Houston,Harris,TX,77019-6319,84,84,25,30.04,10,N,10,0,Partly Cloudy,Day
A-804591,2,2021-07-27,L,Sherman Oaks,Los Angeles,CA,91403-2404,90,90,37,29.11,10,SE,7,0,Fair,Day
A-879611,2,2021-12-09,L,Dayton,Webster,IA,50530-7564,34,25,87,28.32,10,SE,13,0,Fair,
A-843792,2,2021-07-19,R,San Antonio,Bexar,TX,78227,76,76,91,29.25,10,CALM,0,0,Fair,Night
A-526227,2,2021-08-01,R,Federal Way,King,WA,98003,67,67,68,29.63,10,VAR,7,0,Mostly Cloudy,Day
A-682250,2,2021-12-29,R,Sidman,Cambria,PA,15955-3515,45,45,93,27.49,6,CALM,0,0,Cloudy,Night
A-55738,2,2016-11-18,L,Des Plaines,Cook,IL,60018,60.1,,80,29.75,6,South,20.7,0.03,Light Rain,Day
A-143101,2,2017-02-02,R,South El Monte,Los Angeles,CA,91733,55.4,,67,30.18,7,Calm,,,Mostly Cloudy,Day
A-111410,2,2017-01-17,R,Long Beach,Los Angeles,CA,90802-4413,57,,81,30.12,9,WNW,6.9,,Clear,Night
A-655707,2,2021-08-07,R,Oroville,Butte,CA,95965-3256,86,86,38,29.58,4,SE,7,0,Haze,Day
A-98540,3,2016-04-26,R,New Haven,New Haven,CT,6511,48.9,,86,29.78,7,East,8.1,0.02,Light Rain,Day
A-566704,2,2021-12-12,R,Quinton,New Kent,VA,23141,47,40,50,29.88,10,NNW,17,0,Cloudy,Night
A-640561,4,2021-12-17,R,Stewartstown,York,PA,17363-7619,54,54,34,29.68,10,WNW,7,0,Fair,Day
A-836104,2,2021-10-20,R,Seattle,King,WA,98108,52,52,97,29.69,10,SSE,10,0.02,Light Rain,Day
A-692571,2,2021-10-26,R,Miami,Miami-Dade,FL,33155-3334,88,88,67,29.82,10,W,8,0,Partly Cloudy,Day
A-48392,2,2016-10-23,R,Fairfield,Fairfield,CT,6824,61,,31,29.75,10,West,17.3,,Clear,Day
A-360309,2,2021-11-09,R,Southfield,Oakland,MI,48076,55,55,74,29.35,10,N,8,0,Rain,Day
A-750876,2,2021-09-19,R,Madison,Limestone,AL,35756,73,73,96,29.32,4,ESE,7,0.29,Light Rain,Day
A-229617,2,2021-10-11,R,Nashville,Davidson,TN,37211-6525,83,83,44,29.2,10,S,20,0,Partly Cloudy,Day
A-174352,2,2017-04-08,R,High Springs,Alachua,FL,32643,73,,18,30.09,10,NNW,13.8,,Clear,Day
A-273774,2,2021-07-04,R,Minneapolis,Hennepin,MN,55429,94,94,37,28.82,10,SSW,12,0,Fair,Day
A-3256,2,2016-05-12,R,Stockton,San Joaquin,CA,95206,61,,72,30,10,NNW,6.9,,Clear,Day
A-129763,2,2016-09-07,R,Crockett,Contra Costa,CA,94525,86,,26,29.89,10,NNE,4.6,,Clear,Day
